name,description,reference,price,comparePrice,productType,subcategory,sizes,colors,material,weight,stock,minOrder,imageUrl,isNew,isFeatured,hasDiscount,discount,reinforcement,reflective,thermal,features
Polera Polo Pique,Polera polo en algodón piqué ideal para imagen corporativa. Incluye bordado de logo.,POL-001,12900,15900,corporativo,Poleras,"S,M,L,XL,2XL","#163C7A,#FFFFFF,#B91C1C,#111827",100% Algodón Piqué,210 gr/m²,250,10,https://images.unsplash.com/photo-1581091226033-d5c48150dbaa,true,true,false,0,false,false,false,"Calidad premium|Cuello reforzado|Bordado incluido|Lavabilidad industrial"
Camisa Formal Ejecutiva,Camisa formal antiarrugas perfecta para ejecutivos y reuniones importantes.,CAM-002,18900,22900,corporativo,Camisas,"S,M,L,XL,2XL","#FFFFFF,#163C7A,#E5E7EB",65% Poliéster 35% Algodón,180 gr/m²,180,10,https://images.unsplash.com/photo-1598032895397-b9472444bf93,true,true,true,15,false,false,false,"Anti-arrugas|Puños doble botón|Planchado fácil|Bordado incluido"
Chaqueta Corporativa,Chaqueta ejecutiva impermeable con forro térmico desmontable.,CHA-003,45900,55900,corporativo,Chaquetas,"S,M,L,XL,2XL","#163C7A,#1F2937,#4B5563",Poliéster Impermeable,250 gr/m²,95,10,https://images.unsplash.com/photo-1591047139829-d91aecb6caea,true,true,false,0,false,false,false,"Impermeable|Forro térmico|Capucha oculta|Múltiples bolsillos"
Polera Manga Larga,Polera manga larga de algodón peinado para climas fríos.,POL-004,14900,17900,corporativo,Poleras,"S,M,L,XL,2XL","#163C7A,#1F2937,#4B5563,#FFFFFF",100% Algodón Peinado,190 gr/m²,200,10,https://images.unsplash.com/photo-1581655353564-df123a1eb820,false,true,false,0,false,false,false,"Manga larga|Puños elastizados|Cuello reforzado|Bordado incluido"
Camisa Oxford,Camisa Oxford de alta resistencia ideal para uso diario en oficina.,CAM-005,20900,24900,corporativo,Camisas,"S,M,L,XL,2XL,3XL","#FFFFFF,#163C7A,#8B7355",100% Algodón Oxford,200 gr/m²,150,10,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,false,false,true,10,false,false,false,"Tela Oxford|Resistente a arrugas|Bordado incluido|Lavable a máquina"
Chaleco Corporativo,Chaleco elegante para uso ejecutivo combina con camisa formal.,CHA-006,32900,38900,corporativo,Chalecos,"S,M,L,XL,2XL","#163C7A,#1F2937,#4B5563",Poliéster con forro,220 gr/m²,80,10,https://images.unsplash.com/photo-1539533018447-63fcce2678e3,false,false,false,0,false,false,false,"Forro interior|Bolsillos laterales|Ajuste perfecto|Bordado incluido"
Polera Dry Fit,Polera deportiva Dry Fit para actividades outdoor y team building.,POL-007,16900,19900,corporativo,Poleras Deportivas,"S,M,L,XL,2XL","#163C7A,#FC9430,#FFFFFF,#B91C1C",100% Poliéster,150 gr/m²,300,10,https://images.unsplash.com/photo-1576566588028-4147f3842f27,true,true,true,15,false,false,false,"Secado rápido|Transpirable|Anti-bacterial|Ligera"
Chaqueta Softshell,Chaqueta Softshell cortaviento ideal para exteriores.,CHA-008,52900,62900,corporativo,Chaquetas,"S,M,L,XL,2XL","#163C7A,#1F2937,#DC2626",Softshell 3 capas,320 gr/m²,60,10,https://images.unsplash.com/photo-1591047139829-d91aecb6caea,true,true,true,12,false,false,false,"Cortaviento|Impermeable|Transpirable|Forro polar"
Camisa Verano,Camisa de manga corta para climas cálidos tela fresca.,CAM-009,15900,18900,corporativo,Camisas Verano,"S,M,L,XL,2XL","#FFFFFF,#163C7A,#E5E7EB",100% Algodón,160 gr/m²,220,10,https://images.unsplash.com/photo-1603252109303-2751441dd157,false,false,false,0,false,false,false,"Manga corta|Fresca y liviana|Bordado incluido|Ideal para verano"
Polera Cuello V,Polera cuello V de algodón premium look más casual pero profesional.,POL-010,13900,16900,corporativo,Poleras,"S,M,L,XL,2XL","#163C7A,#FFFFFF,#1F2937,#4B5563",100% Algodón,180 gr/m²,180,10,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a,false,true,false,0,false,false,false,"Cuello V|Algodón premium|Bordado incluido|Lavabilidad industrial"
Pantalón Cargo Industrial,"Pantalón cargo con múltiples bolsillos, tela resistente para terreno.",CAR-012,28900,34900,industrial,Pantalones,"S,M,L,XL,2XL,3XL","#4A5D23,#2C2C2C,#8B7355",65% Poliéster 35% Algodón,280 gr/m²,150,10,https://tworldstore.cl/6139-superlarge_default/pantalon-cargo-gabardina-forro-polar-hombre.jpg,false,true,false,0,true,false,false,"Múltiples bolsillos|Refuerzos en rodillas|Cintura elastizada|Resistente a desgarros"
